,link,id,locality,country,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace,garden,surface_land,swimming_pool,state_building,epc,public_sales,notary_sales
833,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/11131606,11131606,Antwerp,Belgium,Antwerp,2000,325000,APARTMENT,APARTMENT,2.0,98.0,0,0,0,,0.0,,0,,A,,
837,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11114534,11114534,Gent,Belgium,East Flanders,9000,400000,APARTMENT,APARTMENT,3.0,111.0,1,0,0,27.0,0.0,,0,GOOD,A,,
840,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230621,10230621,Namur,Belgium,Namur,5000,281000,APARTMENT,APARTMENT,2.0,100.0,1,0,0,25.0,0.0,,0,AS_NEW,B,,
843,https://www.immoweb.be/en/classified/house/for-sale/bonheiden/2820/11131599,11131599,Mechelen,Belgium,Antwerp,2820,680000,HOUSE,HOUSE,3.0,,0,0,0,0.0,0.0,574.0,0,GOOD,B,,
845,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230620,10230620,Namur,Belgium,Namur,5000,286000,APARTMENT,APARTMENT,2.0,105.0,1,0,0,20.0,0.0,,0,AS_NEW,B,,
846,https://www.immoweb.be/en/classified/ground-floor/for-sale/brussels-city/1000/11105972,11105972,Brussels,Belgium,Brussels,1000,355000,APARTMENT,GROUND_FLOOR,2.0,93.0,0,0,0,8.0,0.0,,0,GOOD,,,
849,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230649,10230649,Namur,Belgium,Namur,5000,286000,APARTMENT,APARTMENT,2.0,96.0,1,0,0,13.0,0.0,,0,,B,,
854,https://www.immoweb.be/en/classified/flat-studio/for-sale/gent/9000/11121577,11121577,Gent,Belgium,East Flanders,9000,195000,APARTMENT,FLAT_STUDIO,1.0,38.0,1,0,0,0.0,0.0,,0,GOOD,C,,
859,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11121576,11121576,Gent,Belgium,East Flanders,9000,195000,APARTMENT,APARTMENT,1.0,38.0,1,0,0,0.0,0.0,,0,GOOD,C,,
860,https://www.immoweb.be/en/classified/ground-floor/for-sale/brussels-city/1000/11105969,11105969,Brussels,Belgium,Brussels,1000,357000,APARTMENT,GROUND_FLOOR,2.0,93.0,0,0,0,8.0,0.0,,0,GOOD,,,
866,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/schilde/2970/10056580,10056580,Antwerp,Belgium,Antwerp,2970,1250000,HOUSE,MIXED_USE_BUILDING,17.0,580.0,1,0,1,40.0,1748.0,1348.0,0,GOOD,C,,
868,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230618,10230618,Namur,Belgium,Namur,5000,307000,APARTMENT,APARTMENT,3.0,116.0,1,0,0,22.0,0.0,,0,AS_NEW,B,,
873,https://www.immoweb.be/en/classified/house/for-sale/turnhout/2300/11131579,11131579,Turnhout,Belgium,Antwerp,2300,485000,HOUSE,HOUSE,0.0,400.0,0,0,0,0.0,0.0,520.0,0,GOOD,D,,
876,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105970,11105970,Brussels,Belgium,Brussels,1000,360000,APARTMENT,APARTMENT,2.0,93.0,0,0,0,8.0,0.0,,0,GOOD,,,
878,https://www.immoweb.be/en/classified/ground-floor/for-sale/brussels-city/1000/11105968,11105968,Brussels,Belgium,Brussels,1000,363000,APARTMENT,GROUND_FLOOR,2.0,94.0,0,0,0,8.0,0.0,,0,GOOD,,,
